2026-02-10 16:40:57 - Results for qwen-2.5-32b on piqa,arc_challenge,boolq,winogrande,lambada_openai:
|    Tasks     |Version|Filter|n-shot|  Metric  |   |Value |   |Stderr|
|--------------|------:|------|-----:|----------|---|-----:|---|-----:|
|arc_challenge |      1|none  |     0|acc       |↑  |0.5162|±  |0.0146|
|              |       |none  |     0|acc_norm  |↑  |0.5478|±  |0.0145|
|boolq         |      2|none  |     0|acc       |↑  |0.8685|±  |0.0059|
|lambada_openai|      1|none  |     0|acc       |↑  |0.7708|±  |0.0059|
|              |       |none  |     0|perplexity|↓  |2.9021|±  |0.0567|
|piqa          |      1|none  |     0|acc       |↑  |0.8058|±  |0.0092|
|              |       |none  |     0|acc_norm  |↑  |0.8172|±  |0.0090|
|winogrande    |      1|none  |     0|acc       |↑  |0.7585|±  |0.0120|

